Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-53.10643	-95.61844	42.512	0.0013638	0.0108724	0.00580634	0.0128606	0.0234268	0.00646836	0.00119897	0.00123729	0.0073382	0.00392191	0.0151349	0.00202963	0.0315055	0.00872149	0.00168278	0.0119755	0.0200975	0.0343433	0.00495928	0.00450554	0.00252019	0.000883009	0.0135745	0.00320125	0.00561601	0.00575001	0.00637259	0.0030844	0.029739	0.0041939	0.00405593	0.00140003	0.000600158	0.00254691	0.000441529	0.133406	1.36108	0.9702316	1.029768	0.255963	0.514478	0.81274	1.23041	1.94372	3.90681	0.9853415	1.061363	0.0408394	0.0046478	0.0370529	0.0197878	0.0438286	0.0798379	0.022044	0.00408605	0.00421667	0.0250084	0.0133658	0.0515793	0.00691692	0.10737	0.0297226	0.00573487	0.0408123	0.0684918	0.117041	0.0169011	0.0153548	0.00858874	0.00300927	0.0462616	0.0109098	0.0191392	0.0195959	0.0217176	0.0105116	0.10135	0.0142927	0.0138225	0.00477127	0.00204532	0.0086798	0.00150472	0.7191	0.2809	0.7191004	0.2934295
36	-57.10638	-100.5946	43.48824	0.0206744	0.0429585	0.0531622	0.0134277	0.0609315	0.0209074	0.0294935	0.0147671	0.0216619	0.0464039	0.00882374	0.00456702	0.0964957	0.0867833	0.0395575	0.00451993	0.00191749	0.0116112	0.00487146	0.00313008	0.0152168	0.00222939	0.0233363	0.00897712	0.0152485	0.068881	0.0343245	0.0312105	0.0749527	0.0109381	0.0379473	0.0300903	0.00353683	0.0050503	0.0127095	0.0108651	1.41214	1.869956	0.1300438	0.144611	0.389428	0.745111	1.34208	2.56787	6.91512	1.398206	0.06954376	0.003205873	0.0215064	0.0446872	0.0553016	0.013968	0.0633835	0.0217487	0.0306804	0.0153614	0.0225336	0.0482713	0.00917883	0.00475081	0.100379	0.0902757	0.0411493	0.00470182	0.00199466	0.0120784	0.0050675	0.00325605	0.0158292	0.00231911	0.0242754	0.00933838	0.0158621	0.071653	0.0357059	0.0324665	0.077969	0.0113782	0.0394744	0.0313013	0.00367916	0.00525354	0.0132209	0.649761	0.350239	0.6497607	0.9613143
72	-50.8708	-93.91816	43.04736	0.00592282	0.0433325	0.044602	0.0031832	0.0428885	0.00671295	0.0150921	0.00233097	0.00573069	0.0186087	0.00383419	0.0226322	0.0265387	0.0618069	0.00504692	0.0089343	0.000804427	0.00457041	0.0178537	0.00513379	0.00243304	0.0159641	0.0372069	0.000131867	0.0210114	0.013091	0.0294316	0.00716835	0.0424999	0.028965	0.0122324	0.0299738	0.00249371	0.00992604	0.0168269	0.429231	1.23782	1.169621	0.8303785	0.513538	0.722513	0.903571	1.10672	1.38406	1.94728	0.4818757	0.709955	0.1444849	0.00963192	0.070469	0.0725335	0.00517663	0.0697469	0.0109168	0.0245433	0.00379072	0.00931947	0.0302622	0.0062353	0.0368053	0.0431582	0.100513	0.00820749	0.0145293	0.00130819	0.00743258	0.0290344	0.00834877	0.0039567	0.0259614	0.0605074	0.000214447	0.0341696	0.0212891	0.0478628	0.0116574	0.069115	0.047104	0.0198929	0.0487445	0.00405537	0.0161421	0.0273645	0.970328	0.0296721	0.9703279	0.6149161
108	-56.65507	-98.97416	42.3191	0.0053872	0.0161424	0.0164284	0.0184403	0.0575427	0.00555805	0.00140751	0.0110184	0.00848042	0.0217178	0.0246736	0.0508307	0.0151473	0.0283375	0.00489141	0.0144836	0.00830815	0.00860803	0.0171079	0.0121	0.000267321	0.00713357	0.0212342	0.000747518	0.00176182	0.00476673	0.012537	0.0092976	0.0340991	0.0227017	0.00479822	0.00407125	0.00138078	0.00804397	0.0302253	0.267894	1.30504	0.8644853	1.135515	0.304673	0.560098	0.834571	1.19822	1.7854	3.28221	0.8593797	1.313515	0.08553146	0.0105698	0.0316718	0.0322328	0.0361804	0.1129	0.010905	0.00276158	0.0216184	0.0166388	0.0426109	0.0484102	0.0997312	0.0297195	0.0555989	0.00959708	0.0284172	0.0163008	0.0168892	0.0335661	0.0237405	0.00052449	0.0139962	0.041662	0.00146665	0.00345673	0.00935244	0.0245979	0.0182421	0.0669033	0.0445413	0.00941423	0.0079879	0.00270913	0.0157825	0.0593028	0.943106	0.0568944	0.9431056	0.5096775
144	-54.89105	-96.65773	41.76668	0.00815589	0.00526423	0.0119659	0.00692072	0.00362983	0.0113964	0.00342084	0.00570168	0.000479645	0.00976083	0.00220883	0.0174462	0.000150544	0.00903566	0.000845471	0.0291031	0.0151871	0.0249686	0.00616844	0.0554902	0.002178	0.00799312	0.00116763	2.53403e-05	0.0268243	0.000566143	0.0153696	8.22519e-06	0.000966679	0.00410656	0.0195496	0.0104642	0.00409989	0.0220126	0.016827	0.0895303	1.37936	0.5015715	1.498428	0.391101	0.632643	0.866892	1.15355	1.58067	2.55688	0.6788091	2.987467	0.0270446	0.0226893	0.0146449	0.0332886	0.0192532	0.010098	0.0317042	0.00951663	0.0158618	0.00133435	0.0271542	0.00614488	0.0485347	0.000418806	0.0251368	0.00235207	0.0809635	0.04225	0.0694615	0.0171603	0.154371	0.00605909	0.0222365	0.00324829	7.04956e-05	0.074624	0.00157499	0.0427576	2.28821e-05	0.00268926	0.0114243	0.0543861	0.0291111	0.0114057	0.0612383	0.0468121	0.997754	0.00224649	0.9977535	0.359459
180	-56.31782	-98.35606	42.03824	0.00398876	0.00225864	0.0147987	0.0136479	0.0343798	0.0286637	0.0202946	1.54411e-05	0.00909328	0.00580207	0.00198147	0.0309752	0.00471043	0.0198315	0.00585133	0.00281103	0.028618	0.0147552	0.0115994	0.0662412	0.00153013	0.0165776	0.0145045	3.83024e-05	0.0129437	0.000589942	0.0123268	0.000146381	0.0116335	0.0142866	0.0212037	0.00830838	0.00482469	0.0166111	0.0127588	0.19018	1.33742	0.7501677	1.249832	0.250158	0.508754	0.809908	1.23471	1.96559	3.99747	1.001929	1.66607	0.05924956	0.00851204	0.00481996	0.0315805	0.0291248	0.0733667	0.0611686	0.0433089	3.29515e-05	0.0194051	0.0123817	0.00422847	0.0661013	0.0100521	0.0423205	0.0124868	0.00599876	0.061071	0.0314878	0.0247533	0.141359	0.00326531	0.0353768	0.0309527	8.17376e-05	0.027622	0.00125894	0.0263056	0.000312379	0.024826	0.0304877	0.0452489	0.0177301	0.0102959	0.0354483	0.0272273	0.856329	0.143671	0.8563295	0.468602
216	-45.07955	-89.56079	44.48124	0.0150863	0.0246835	0.0185993	0.00501752	0.0480786	0.0164331	0.0408328	0.000107198	0.0111045	0.0312192	0.00220071	0.0158023	0.0255843	0.0723775	0.0198503	0.0191856	0.0183726	0.00329052	0.00912612	0.0404422	0.0128332	0.0129166	0.00488184	5.98241e-05	0.0161768	0.000169825	0.012495	0.00746763	0.0274431	0.0111411	0.0305025	0.0185974	0.0233873	0.042905	0.0183104	0.325298	1.28113	1.710663	0.2893373	0.734231	0.860134	0.954082	1.04813	1.16261	1.36197	0.2233788	0.1691375	0.1057984	0.0222945	0.0364773	0.0274861	0.00741489	0.0710505	0.0242848	0.0603427	0.000158417	0.0164102	0.0461357	0.00325221	0.0233526	0.0378085	0.106959	0.0293347	0.0283525	0.027151	0.00486273	0.0134866	0.0597654	0.0189649	0.0190881	0.00721438	8.84081e-05	0.0239061	0.000250967	0.0184651	0.0110357	0.0405554	0.0164643	0.0450766	0.0274833	0.0345617	0.0634051	0.027059	0.854112	0.145888	0.8541117	0.6766815
252	-61.10282	-103.181	42.07818	0.00624093	0.00719662	0.0300532	0.00382136	0.00604631	0.0267075	0.0851212	0.0247723	0.0319221	0.0634545	0.0630992	0.0104813	0.0870154	0.036736	0.00673869	0.00733738	0.00968267	0.00282641	0.00803088	0.0990291	0.0159418	0.00297595	0.0115393	4.31815e-05	0.0259235	0.000538029	0.0387321	0.00425288	0.0237292	0.0179422	0.0378114	0.0252715	0.0276905	0.0593771	0.0255604	0.240908	1.31629	0.6829388	1.317061	0.520896	0.727543	0.905529	1.10433	1.37449	1.91977	0.4715896	1.92852	0.07625868	0.00668451	0.00770811	0.0321892	0.00409296	0.00647605	0.0286057	0.0911711	0.0265329	0.0341909	0.0679645	0.067584	0.0112262	0.0932	0.039347	0.00721764	0.00785888	0.0103709	0.00302729	0.00860167	0.106068	0.0170749	0.00318746	0.0123594	4.62506e-05	0.027766	0.000576269	0.0414849	0.00455515	0.0254157	0.0192174	0.0404988	0.0270677	0.0296586	0.0635973	0.0273771	0.993344	0.00665622	0.9933438	0.933642
288	-49.11772	-91.8983	42.78058	0.00175944	0.0208098	0.000575797	0.00701552	0.00458349	0.00281379	0.00246405	0.00145002	0.00350965	0.00747883	0.0216013	0.0211764	0.0242981	0.0156618	0.00266061	0.0271861	0.0039645	0.00683875	0.0322532	0.0166525	0.00876348	0.00653663	0.00947013	0.0300052	0.0377165	0.014928	0.0228127	0.0154982	0.00488041	0.00859633	0.00073228	0.0089966	0.00305983	0.00438165	0.0182287	0.354776	1.26884	1.243362	0.7566384	0.25071	0.509301	0.81018	1.23429	1.96347	3.98867	1.000335	0.6085425	0.1165023	0.00419553	0.0496227	0.00137304	0.0167291	0.0109297	0.00670971	0.00587575	0.0034577	0.00836905	0.0178339	0.0515102	0.0504969	0.0579409	0.0373469	0.00634446	0.0648274	0.00945368	0.0163076	0.0769104	0.0397092	0.0208973	0.0155871	0.0225823	0.0715499	0.0899382	0.035597	0.0543989	0.0369569	0.0116377	0.0204987	0.00174618	0.0214532	0.00729642	0.0104484	0.0434679	0.773498	0.226502	0.7734976	0.4193602
324	-49.78561	-94.38783	44.60222	0.000789996	0.000938175	0.00110307	0.00913729	0.0139167	0.0167816	0.0125291	0.0270359	0.0157359	0.0981777	0.0174931	0.000467735	0.00799366	0.101568	0.0042732	0.000266039	0.0424864	0.0241504	0.0418845	0.0458578	0.00860003	0.0684642	0.0335765	0.0163353	0.0401374	0.0226482	0.0339333	0.0301187	0.00653117	0.0155495	0.0432701	0.0844456	0.00374395	0.0614209	0.027548	0.16519	1.34784	1.757474	0.2425258	0.729418	0.85738	0.953128	1.04918	1.16634	1.37096	0.2281341	0.1379968	0.05106632	0.000807017	0.000958388	0.00112683	0.00933416	0.0142166	0.0171432	0.012799	0.0276184	0.0160749	0.100293	0.01787	0.000477812	0.00816589	0.103756	0.00436527	0.000271771	0.0434018	0.0246707	0.0427869	0.0468458	0.00878533	0.0699392	0.0342999	0.0166873	0.0410022	0.0231361	0.0346644	0.0307677	0.00667188	0.0158845	0.0442024	0.086265	0.00382461	0.0627442	0.0281415	0.999285	0.000714824	0.9992852	0.9789089
