Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
360	-55.4367	-98.33012	42.89341	0.000455552	0.0322132	0.162583	0.0151915	0.0509488	0.0174986	0.00621684	0.00346726	0.0488166	0.0318227	0.0568589	0.0391641	0.0353005	0.10051	0.00252205	0.00837262	0.0517127	0.00642012	0.0119954	0.00259774	0.165767	0.0371601	0.00369013	0.022246	0.10734	0.0314822	0.0153313	0.000153428	0.041646	0.0511671	0.0174034	0.0822176	0.0133161	0.0151994	0.0800054	0.935541	1.02686	1.709888	0.2901123	0.603193	0.781498	0.925967	1.07995	1.27959	1.65785	0.3655249	0.1696674	0.3796132	0.000332813	0.023534	0.118779	0.0110984	0.0372217	0.012784	0.00454184	0.00253308	0.035664	0.0232488	0.0415394	0.0286121	0.0257895	0.0734298	0.00184254	0.00611679	0.0377798	0.00469035	0.0087635	0.00189783	0.121104	0.0271481	0.0026959	0.0162523	0.0784191	0.023	0.0112006	0.00011209	0.0304254	0.0373812	0.0127144	0.0600658	0.00972833	0.0111043	0.0584496	0.790531	0.209469	0.790531	1.368793
396	-43.70358	-88.06102	44.35744	0.00667461	0.0181715	0.000403033	0.0104195	0.00218313	0.00386375	0.00270617	0.000256307	0.00761078	0.00569272	0.00862701	0.000707783	0.0192454	0.0624823	0.0036709	0.00573636	0.00505513	0.0105861	0.00283684	0.00109816	0.00562818	0.00028909	0.0142328	0.00681911	0.00751905	0.0184678	0.00250572	0.00321659	0.0142116	0.00617595	0.0183092	0.020917	0.017441	0.036105	0.00268299	0.12633	1.36403	1.852601	0.1473985	0.24858	0.507187	0.809129	1.2359	1.97166	4.02284	1.006504	0.07956298	0.03858956	0.0189324	0.0515432	0.0011432	0.0295548	0.00619242	0.0109595	0.00767603	0.000727012	0.0215879	0.0161473	0.0244704	0.00200762	0.0545894	0.17723	0.0104125	0.0162711	0.0143388	0.0300274	0.00804665	0.00311491	0.0159643	0.00082	0.0403713	0.0193423	0.0213277	0.0523836	0.00710744	0.00912382	0.040311	0.017518	0.0519339	0.0593308	0.0494711	0.102411	0.00761026	0.477041	0.522959	0.4770411	0.3525486
432	-45.53341	-88.08135	42.54794	0.00163382	0.00513247	0.0128602	0.00202499	0.0133336	0.00903217	0.0019737	0.0038893	0.00338454	0.0313013	0.0109311	0.0012399	0.0461354	0.0922533	0.00124584	0.00677883	0.00546613	0.0129965	0.00903805	0.0164184	0.00128848	0.0439256	0.0322547	0.0210698	0.00805787	0.0194784	0.00208959	0.00840173	0.0215971	0.0232737	0.0117018	0.0975785	0.0192366	0.0861184	0.0131747	0.80556	1.08102	1.088346	0.9116538	0.642385	0.805863	0.934879	1.06966	1.24091	1.5567	0.3200069	0.8376505	0.3104947	0.00234637	0.00737089	0.0184689	0.00290815	0.0191488	0.0129714	0.00283448	0.00558554	0.00486064	0.0449527	0.0156984	0.00178065	0.0662563	0.132488	0.00178919	0.00973527	0.00785007	0.0186646	0.0129798	0.0235789	0.00185043	0.0630828	0.0463219	0.0302589	0.0115721	0.0279735	0.00300092	0.012066	0.0310162	0.0334241	0.0168052	0.140135	0.0276263	0.123677	0.0189205	0.999322	0.000678041	0.999322	0.6963163
468	-42.93491	-87.73834	44.80343	0.000756229	0.0126886	0.0129405	0.000333363	0.0261364	0.00293355	0.00621617	0.007012	0.0167444	0.012561	0.00213967	0.000703468	0.0364299	0.0728757	0.0198901	0.00699131	0.00252947	0.00644995	0.00329932	0.033055	0.00675515	0.00860729	0.0495034	0.00827506	0.0392681	0.05542	0.0114898	0.00145011	0.00843854	0.00441431	0.0233255	0.0442369	0.00164129	0.0328011	0.004836	0.271814	1.30341	1.885511	0.1144887	0.529968	0.733696	0.907911	1.10143	1.36296	1.88691	0.4591044	0.06072022	0.08689191	0.0012968	0.0217588	0.0221908	0.00057166	0.0448195	0.00503054	0.0106597	0.0120244	0.0287138	0.02154	0.00366916	0.00120633	0.062471	0.124969	0.0341081	0.0119889	0.00433762	0.0110606	0.00565776	0.0566836	0.0115839	0.01476	0.0848898	0.0141903	0.067338	0.0950357	0.019703	0.00248668	0.0144707	0.00756978	0.0399993	0.0758588	0.00281454	0.0562483	0.00829292	0.925789	0.0742114	0.9257886	0.5831487
504	-48.95192	-93.95602	45.0041	0.00708801	0.0511823	0.00564241	0.00294575	0.0587095	0.0172184	0.0132525	0.0101886	0.044723	0.025838	0.0309881	0.021522	0.00269482	0.0390942	0.000233634	0.0186724	0.0386397	0.00384074	0.00785667	0.0159168	0.021696	0.0136687	0.0245786	0.000933873	0.0362148	0.025371	0.0388011	0.00118798	0.00287778	0.0217361	0.0151885	0.0496406	0.0493489	0.0526251	0.00844712	0.115042	1.36873	1.909581	0.0904188	0.519247	0.726419	0.905093	1.10486	1.37662	1.92586	0.4738811	0.04735007	0.03502079	0.00910395	0.0657394	0.00724721	0.00378358	0.0754074	0.0221155	0.0170218	0.0130865	0.057443	0.0331868	0.0398016	0.0276432	0.00346128	0.0502132	0.000300083	0.0239831	0.0496295	0.00493311	0.0100912	0.0204438	0.0278667	0.0175562	0.0315692	0.00119948	0.0465149	0.032587	0.0498368	0.00152586	0.00369627	0.0279182	0.0195083	0.0637592	0.0633845	0.0675925	0.0108496	0.637843	0.362157	0.6378427	0.7785635
540	-48.00847	-90.23483	42.22636	0.0160805	0.00931349	0.00958735	0.00171771	0.0287945	0.0279549	0.0121145	0.012865	0.00511823	0.00144067	0.00151119	0.00159171	0.00142026	0.0168464	0.00322652	0.0172947	0.0121247	0.00485851	0.0190681	0.0195859	0.00196055	0.0054031	0.000837324	0.00126854	0.000844996	0.0164649	0.0142609	7.451e-05	0.0251611	0.00206939	0.00664951	0.0255007	0.0470617	0.000224295	0.00711614	0.313209	1.28616	0.6241609	1.375839	0.697748	0.839018	0.946712	1.05629	1.19187	1.43318	0.2602307	2.204302	0.1014674	0.0426072	0.0246772	0.0254028	0.00455128	0.0762945	0.07407	0.0320989	0.0340875	0.0135614	0.00381722	0.00400408	0.00421742	0.00376314	0.0446365	0.00854905	0.0458243	0.0321258	0.0128732	0.0505233	0.0518952	0.00519472	0.0143162	0.00221859	0.00336116	0.00223892	0.0436257	0.0377859	0.000197423	0.0666673	0.0054831	0.0176187	0.0675672	0.124696	0.000594296	0.0188551	0.948428	0.051572	0.948428	0.3774124
576	-58.35414	-101.9164	43.56224	0.0211772	0.0282324	0.0151191	0.00153565	0.00598231	0.0108634	0.00780899	0.00633528	0.0126751	0.00462214	0.00464648	0.0389223	0.00207924	0.0403589	0.00151312	0.0166707	0.0284672	0.0200103	0.000513281	0.014005	0.0159682	0.00841556	0.0106644	0.01056	0.00910887	0.00793993	0.00466577	0.00227156	0.00630566	0.0189861	0.029093	0.0205365	0.00325928	0.00695596	0.00128503	0.201049	1.3329	1.288428	0.7115723	0.469689	0.691737	0.891384	1.12185	1.44564	2.12907	0.5464115	0.5522796	0.06284847	0.048399	0.0645232	0.0345537	0.00350963	0.0136722	0.0248275	0.0178469	0.0144789	0.0289681	0.0105636	0.0106192	0.0889544	0.00475197	0.0922376	0.00345813	0.0380998	0.0650598	0.0457321	0.00117307	0.0320075	0.0364942	0.0192332	0.0243728	0.0241341	0.0208177	0.0181462	0.0106633	0.00519151	0.0144112	0.0433914	0.0664901	0.0469348	0.00744886	0.0158974	0.00293686	0.51394	0.48606	0.5139403	0.4375538
612	-57.676	-98.6932	41.0172	0.0332046	0.00473934	0.00273952	0.00501675	0.00309801	0.00305224	0.0108675	0.00798222	0.00180534	0.0201673	0.000994575	0.00289816	0.00193894	0.00726978	0.000778271	0.00648679	0.0148461	0.00247878	0.00248511	0.0204671	0.00310191	0.00356409	0.0087387	0.0110813	0.000898112	0.0031671	0.0282604	0.00136196	0.00991314	0.0118296	0.00876114	0.0022145	0.0182153	0.00181254	0.00223454	0.596903	1.16796	0.6922983	1.307702	0.205918	0.462687	0.786277	1.27182	2.16129	4.85629	1.142648	1.888928	0.2129441	0.123681	0.0176531	0.0102041	0.0186864	0.0115395	0.011369	0.0404794	0.0297322	0.00672452	0.0751191	0.00370459	0.0107951	0.00722217	0.0270785	0.0028989	0.024162	0.0552989	0.00923296	0.00925652	0.076236	0.011554	0.0132755	0.0325499	0.0412755	0.00334529	0.0117968	0.105264	0.00507303	0.0369244	0.0440629	0.0326335	0.00824858	0.0678485	0.00675134	0.0083232	0.966553	0.0334469	0.9665531	0.2684709
648	-47.97712	-90.14911	42.17199	0.00306302	0.0160141	0.0103415	0.00126816	0.0229851	0.00412422	0.00650413	0.000585922	0.00222843	0.00259148	0.000212578	0.00372869	0.0217112	0.0102479	0.00651191	0.00465335	0.0072626	0.00185448	0.00585246	0.00227494	0.0232246	0.00553553	0.0131602	0.00175573	0.00024635	0.00237253	0.00271584	0.0119541	0.0187083	0.00273586	0.00108901	0.0342681	0.0030951	0.00460341	0.00719665	0.306948	1.28877	0.9128525	1.087147	0.292782	0.549328	0.829531	1.2055	1.8204	3.41551	0.8881658	1.190934	0.09923787	0.0114859	0.0600504	0.0387792	0.00475539	0.0861908	0.0154652	0.0243895	0.00219712	0.00835627	0.00971767	0.000797137	0.013982	0.0814136	0.038428	0.0244187	0.0174494	0.0272337	0.00695402	0.0219458	0.00853069	0.0870886	0.0207574	0.0493487	0.00658372	0.000923776	0.00889664	0.010184	0.0448259	0.0701532	0.010259	0.00408361	0.1285	0.0116062	0.0172621	0.0269864	0.873221	0.126779	0.8732212	0.2666774
684	-42.80986	-87.46732	44.65746	0.0149883	0.01606	0.00916708	0.0117101	0.0342492	0.00798839	0.0158323	0.0067705	0.0014616	0.0374335	0.00582865	0.0102823	0.00104438	0.0856232	0.00657965	0.0110534	0.0056316	0.017636	0.00120244	0.0352696	0.0124693	0.00286217	0.000384876	0.0153134	0.00775736	0.00309721	0.0404095	0.00162076	0.0237085	0.0259028	0.0145198	0.0407667	0.0777359	5.84463e-05	0.0206506	0.227082	1.32205	1.90961	0.09039035	0.364814	0.611535	0.857763	1.16582	1.63523	2.74113	0.7291198	0.04733447	0.07156884	0.0240556	0.0257756	0.0147128	0.0187942	0.0549684	0.012821	0.0254102	0.0108664	0.0023458	0.0600792	0.00935473	0.0165027	0.00167619	0.137422	0.0105601	0.0177403	0.00903847	0.028305	0.00192986	0.0566062	0.0200127	0.00459367	0.00061771	0.0245773	0.0124502	0.00497089	0.0648556	0.00260124	0.0380511	0.0415729	0.0233036	0.0654289	0.124763	9.38038e-05	0.0331433	0.815398	0.184602	0.8153976	0.6230695
